"Source","Target","Type","Weight","RelationType","Confidence","SourceKind","Notes"
"CITES","clover","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","Crinsurance","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"CITES","eolo-pharma","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"CITES","Epiliquid","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"CITES","ergo-bioscience","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","Gbot","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"CITES","imvalv","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","limay-biosciences","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","pepton","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","phylumtech","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","RadBio","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"CITES","single-strand-biotech","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","Stradot","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"CITES","teramot","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","vexxel-biotech","Undirected","2","funded_by","high","ecosystem_seed","reference_and_capital_graph|Capital relation seen in current graph stack"
"CITES","ViewMind","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"conservation-international","Feedvax","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"creative-ventures","onco-precision","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"dragones","caspr-biotech","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"dragones","st-mm","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DragonesVP","amai-proteins","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","Armenta","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","caspr-biotech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","FixUP","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","ngc-partners","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","Peek","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","Satellogic","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","Semtive","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","Skyloom","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","unleash-immuno-oncolytics","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"draper-associates","st-mm","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","argenTAG","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Auth0","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Ayuvant","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Beeflow","Undirected","2","funded_by","high","ecosystem_seed","reference_and_capital_graph|Capital relation seen in current graph stack"
"DraperCygnus","CargoProduce","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
