support_id,source_entity_id,target_entity_id,support_type,started_at,ended_at,notes,source_url,confidence_score,added_by,added_at
cab_argentina_cell_farm_member_00903f50,cab_argentina,cell_farm,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_chemtest_member_3b8c32cf,cab_argentina,chemtest,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_circa_therapeutics_member_a731580a,cab_argentina,circa_therapeutics,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_cryosmetics_member_7fcd6ed8,cab_argentina,cryosmetics,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_detx_mol_member_16270eab,cab_argentina,detx_mol,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_einsted_member_702f550f,cab_argentina,einsted,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_elytron_biotech_member_ce4540d8,cab_argentina,elytron_biotech,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_embryoxite_member_99f771a1,cab_argentina,embryoxite,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_enteria_member_b7c4e0a6,cab_argentina,enteria,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_ergo_bioscience_member_6fece042,cab_argentina,ergo_bioscience,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_fecundis_member_b514f97a,cab_argentina,fecundis,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_feedvax_member_58d3a382,cab_argentina,feedvax,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_future_biome_member_506f420a,cab_argentina,future_biome,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_geoprot_member_52974dec,cab_argentina,geoprot,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_gisens_biotech_member_9ab4cc01,cab_argentina,gisens_biotech,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_HIAMET_member_9801665f,cab_argentina,HIAMET,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_hybridon_member_f37a9d61,cab_argentina,hybridon,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_infira_member_b75ee980,cab_argentina,infira,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
