"entity_id","canonical_name","source_file","source_kind","extraction_method","notes"
"Egg","Egg","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"EINSTED","EINSTED","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"EINSTED","EINSTED","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"eir","Eirú","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"eiru","EirÃº","canonical_entities.csv","canonical","canonical_base","graphml"
"eiwa","Eiwa","canonical_entities.csv","canonical","canonical_base","graphml"
"eiwa","Eiwa","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"elytron-biotech","Elytron Biotech","canonical_entities.csv","canonical","canonical_base","graphml"
"elytron-biotech","Elytron Biotech","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"elytron-biotech","Elytron Biotech","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"elytron-biotech","Elytron Biotech","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"Embryoxite","Embryoxite","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Embryoxite","Embryoxite","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"Enteria","Enteria","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Enteria","Enteria","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"enzyva","Enzyva","canonical_entities.csv","canonical","canonical_base","graphml"
"enzyva","Enzyva","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"eolo-pharma","Eolo Pharma","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"eolo-pharma","Eolo Pharma","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"Epiliquid","Epiliquid","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Epiliquid","Epiliquid","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"ergo-bioscience","Ergo Bioscience","canonical_entities.csv","canonical","canonical_base","graphml"
"ergo-bioscience","Ergo Bioscience","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"ergo-foods","Ergo Foods","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"ergo-foods","Ergo Foods","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"Ethos","Ethos","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"Ethos","Ethos","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"Eureka","Eureka","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Eureka","Eureka","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"Exomas","Exomas","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Exomas","Exomas","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"eywa-biotech","Eywa Biotech","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"eywa-biotech","Eywa Biotech","canonical_entities.csv","canonical","canonical_base","graphml"
"eywa-biotech","Eywa Biotech","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"eywa-biotech","Eywa Biotech","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"Falcomm","Falcomm","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Falcomm","Falcomm","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"Farmtastica","Farmtastica","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"Farmtastica","Farmtastica","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"fecundis","fecundis","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"fecundis","fecundis","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"Feedvax","Feedvax","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"Feedvax","Feedvax","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Feedvax","Feedvax","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi|Ecosistema Startups Materiales.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"Feedvax","Feedvax","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"Feedvax","Feedvax","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"FixUP","FixUP","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"FixUP","FixUP","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"flia-duhau","Flia. Duhau","canonical_entities.csv","canonical","canonical_base","graphml"
"flia-duhau","Flia. Duhau","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"food4you","Food4You","canonical_entities.csv","canonical","canonical_base","graphml"
"food4you","Food4You","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"food4you","Food4You","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"food4you","Food4You","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"Formlabs","Formlabs","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"Formlabs","Formlabs","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"fundacion-para-el-progreso-de-la-medicina","Fundacion para el progreso de la medicina","canonical_entities.csv","canonical","canonical_base","graphml"
"fundacion-para-el-progreso-de-la-medicina","Fundacion para el progreso de la medicina","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"fungi-life","Fungi Life","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"fungi-life","Fungi Life","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"fungi-life","Fungi Life","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"future-biome","Future Biome","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"future-biome","Future Biome","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"future-ventures","Future Ventures","canonical_entities.csv","canonical","canonical_base","graphml"
"future-ventures","Future Ventures","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"Gameet","Gameet","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Gameet","Gameet","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"GBM","GBM","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"GBM","GBM","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"Gbot","Gbot","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"Gbot","Gbot","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"genesis-consortium","Genesis Consortium","canonical_entities.csv","canonical","canonical_base","graphml"
"genesis-consortium","Genesis Consortium","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"Geoprot","Geoprot","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Geoprot","Geoprot","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"Gigablue","Gigablue","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"Gigablue","Gigablue","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"gisens-biotech","Gisens Biotech","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"gisens-biotech","Gisens Biotech","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"glocal","GLOCAL","canonical_entities.csv","canonical","canonical_base","graphml"
"glocal","GLOCAL","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"GlucoLib","GlucoLib","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"GlucoLib","GlucoLib","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"GlycoX","GlycoX","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"GlycoX","GlycoX","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"GridX","GridX","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"GridX","GridX","Ecosistema Startups Materiales.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"GridX","GridX","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"GridX","GridX","Ecosistema Startups Materiales.gephi","historical_clean","gephi_string_signal","historical_rich_graph_signal"
"grupo-insud","Grupo Insud","canonical_entities.csv","canonical","canonical_base","graphml"
"grupo-insud","Grupo Insud","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"grupo-peruanos","Grupo Peruanos","canonical_entities.csv","canonical","canonical_base","graphml"
"grupo-peruanos","Grupo Peruanos","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"happiness","Happiness","canonical_entities.csv","canonical","canonical_base","graphml"
"happiness","Happiness","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"hatch","Hatch","canonical_entities.csv","canonical","canonical_base","graphml"
"hatch","Hatch","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"heartbest","Heartbest","canonical_entities.csv","canonical","canonical_base","graphml"
"heartbest","Heartbest","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"HIAMET","HIAMET","canonical_entities.csv","canonical","canonical_base","graphml"
"HIAMET","HIAMET","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"HIAMET","HIAMET","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"HIAMET","HIAMET","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"Huiro","Huiro","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Huiro","Huiro","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"iae-business-school","IAE Business School","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"iae-business-school","IAE Business School","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical_clean","gephi_string_signal","historical_rich_graph_signal"
"iae-business-school","IAE Business School","ecosystem_institution_candidates.csv","institution_candidates","rich_graph_extracted","Extracted from graph strings"
"ial","IAL (CONICET-UNL)","ecosystem_institution_candidates.csv","institution_candidates","rich_graph_extracted","Extracted from graph strings"
