theme,country,n_startups,evidence_pct,capital_pct,dominant_source,dominant_source_share,country_tier,coverage_label
Diagnostics & Health Access,BM,1,0.0,0.0,gridx,1.0,fuera_de_foco,fuera_de_foco
Diagnostics & Health Access,BO,0,0.0,0.0,,0.0,under_explored,no_explorado
Diagnostics & Health Access,BR,31,0.194,0.581,gridx,0.548,well_mapped,parcial
Diagnostics & Health Access,CL,14,0.286,0.5,gridx,0.571,partial,parcial
Diagnostics & Health Access,CO,2,0.5,1.0,summary_extraction,0.5,under_explored,no_explorado
Diagnostics & Health Access,CR,0,0.0,0.0,,0.0,under_explored,no_explorado
Diagnostics & Health Access,DO,0,0.0,0.0,,0.0,under_explored,no_explorado
Diagnostics & Health Access,EC,0,0.0,0.0,,0.0,under_explored,no_explorado
Diagnostics & Health Access,GT,1,0.0,0.0,gridx,1.0,under_explored,no_explorado
Diagnostics & Health Access,MX,11,0.091,0.545,gridx,0.818,partial,parcial
Diagnostics & Health Access,NL,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Diagnostics & Health Access,PA,0,0.0,0.0,,0.0,under_explored,no_explorado
Diagnostics & Health Access,PE,1,0.0,0.0,gridx,1.0,under_explored,no_explorado
Diagnostics & Health Access,PR,1,0.0,0.0,gridx,1.0,fuera_de_foco,fuera_de_foco
Diagnostics & Health Access,PY,0,0.0,0.0,,0.0,under_explored,no_explorado
Diagnostics & Health Access,US,1,1.0,1.0,(sin provenance),1.0,fuera_de_foco,fuera_de_foco
Diagnostics & Health Access,UY,3,0.667,0.667,gridx,0.667,under_explored,no_explorado
Diagnostics & Health Access,VE,0,0.0,0.0,,0.0,under_explored,no_explorado
Farm Intelligence,AR,17,0.941,0.941,(sin provenance),0.647,well_mapped,bien_mapeado
Farm Intelligence,BM,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Farm Intelligence,BO,0,0.0,0.0,,0.0,under_explored,no_explorado
Farm Intelligence,BR,38,0.763,0.842,web_research_2026,0.526,well_mapped,bien_mapeado
Farm Intelligence,CL,4,0.5,1.0,(sin provenance),0.5,partial,parcial
Farm Intelligence,CO,4,1.0,0.75,web_research_2026,0.5,under_explored,no_explorado
Farm Intelligence,CR,0,0.0,0.0,,0.0,under_explored,no_explorado
Farm Intelligence,DO,0,0.0,0.0,,0.0,under_explored,no_explorado
Farm Intelligence,EC,0,0.0,0.0,,0.0,under_explored,no_explorado
Farm Intelligence,GT,0,0.0,0.0,,0.0,under_explored,no_explorado
Farm Intelligence,MX,2,1.0,1.0,(sin provenance),1.0,partial,parcial
Farm Intelligence,NL,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Farm Intelligence,PA,0,0.0,0.0,,0.0,under_explored,no_explorado
Farm Intelligence,PE,1,1.0,1.0,web_research_2026,1.0,under_explored,no_explorado
Farm Intelligence,PR,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Farm Intelligence,PY,0,0.0,0.0,,0.0,under_explored,no_explorado
Farm Intelligence,US,1,1.0,1.0,web_research_2026,1.0,fuera_de_foco,fuera_de_foco
Farm Intelligence,UY,0,0.0,0.0,,0.0,under_explored,no_explorado
Farm Intelligence,VE,0,0.0,0.0,,0.0,under_explored,no_explorado
