"entity_type","entity_id","entity_name","pipeline_state","scope_decision","review_status","quality_band","data_quality_score_10","source_type","source_url","structured_country","capital_edge_count","needs_source","needs_scope_decision","needs_country","needs_quality_upgrade","needs_capital_edge","priority_score"
"startup","logan","Logan","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","menta_tickets","Menta Tickets","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","mudafy","Mudafy","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR/MX","0","True","False","False","False","False","100"
"startup","mural","Mural","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR/US","0","True","False","False","False","False","100"
"startup","payjoy","Payjoy","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","US","0","True","False","False","False","False","100"
"startup","pods","Pods","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","pomelo","Pomelo","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","prima","Prima","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","properati","Properati","source_needed","exclude","taxonomy_stub","medium","7.5","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","qive","Qive","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","BR","0","True","False","False","False","False","100"
"startup","quadminds","Quadminds","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","retargetly","Retargetly","source_needed","exclude","taxonomy_stub","medium","7.5","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","ripio","Ripio","source_needed","exclude","taxonomy_stub","medium","7.5","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","rsk","Rsk","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","securitize","Securitize","source_needed","exclude","taxonomy_stub","medium","7.5","taxonomy_stub","","US/AR","0","True","False","False","False","False","100"
"startup","sirena","Sirena","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","spectrum","Spectrum","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","2","True","False","False","False","False","100"
"startup","spline","Spline","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","starlight_ventures","Starlight Ventures","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","strike","Strike","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","teachy","Teachy","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","tissue_dynamics","Tissue Dynamics","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","IL/AR","0","True","False","False","False","False","100"
"startup","travelx","TravelX","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","US/AR","2","True","False","False","False","False","100"
"startup","vercel","Vercel","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","US/AR","0","True","False","False","False","False","100"
"startup","vixtra","Vixtra","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","zipnova","Zipnova","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","1","True","False","False","False","False","100"
