investment_id,investor_id,startup_id,confidence_score,source
GEPHI_cryosmetics_GridX,GridX,cryosmetics,0.85,full_gephi_graph (network)
GEPHI_cyanomin_GridX,GridX,cyanomin,0.85,full_gephi_graph (network)
GEPHI_cytbac_GridX,GridX,cytbac,0.85,full_gephi_graph (network)
GEPHI_deepagro_inventure,inventure,deepagro,0.85,full_gephi_graph (network)
GEPHI_deepagro_glocal,glocal,deepagro,0.85,full_gephi_graph (network)
GEPHI_deepagro_the_yield_lab_latam,the_yield_lab_latam,deepagro,0.85,full_gephi_graph (network)
GEPHI_dogma_biotech_GridX,GridX,dogma_biotech,0.85,full_gephi_graph (network)
GEPHI_done_properly_AIR Capital,AIR Capital,done_properly,0.85,full_gephi_graph (network)
GEPHI_dynami_DraperCygnus,DraperCygnus,dynami,0.85,full_gephi_graph (network)
GEPHI_egg_AIR Capital,AIR Capital,egg,0.85,full_gephi_graph (network)
GEPHI_einsted_GridX,GridX,einsted,0.85,full_gephi_graph (network)
GEPHI_eiru_Antom,Antom,eiru,0.85,full_gephi_graph (network)
GEPHI_eiru_SF500,SF500,eiru,0.85,full_gephi_graph (network)
GEPHI_eiru_glocal,glocal,eiru,0.85,full_gephi_graph (network)
GEPHI_eiwa_inventure,inventure,eiwa,0.85,full_gephi_graph (network)
GEPHI_eiwa_the_yield_lab_latam,the_yield_lab_latam,eiwa,0.85,full_gephi_graph (network)
GEPHI_elytron_biotech_GridX,GridX,elytron_biotech,0.85,full_gephi_graph (network)
GEPHI_elytron_biotech_inventure,inventure,elytron_biotech,0.85,full_gephi_graph (network)
GEPHI_embryoxite_GridX,GridX,embryoxite,0.85,full_gephi_graph (network)
GEPHI_enteria_GridX,GridX,enteria,0.85,full_gephi_graph (network)
GEPHI_enzyva_GridX,GridX,enzyva,0.85,full_gephi_graph (network)
GEPHI_epiliquid_CITES,CITES,epiliquid,0.85,full_gephi_graph (network)
GEPHI_ergo_bioscience_CITES,CITES,ergo_bioscience,0.85,full_gephi_graph (network)
GEPHI_ergo_foods_AIR Capital,AIR Capital,ergo_foods,0.85,full_gephi_graph (network)
GEPHI_ethos_AIR Capital,AIR Capital,ethos,0.85,full_gephi_graph (network)
GEPHI_eureka_SF500,SF500,eureka,0.85,full_gephi_graph (network)
GEPHI_exomas_SF500,SF500,exomas,0.85,full_gephi_graph (network)
GEPHI_eywa_biotech_GridX,GridX,eywa_biotech,0.85,full_gephi_graph (network)
GEPHI_falcomm_DraperCygnus,DraperCygnus,falcomm,0.85,full_gephi_graph (network)
GEPHI_fecundis_GridX,GridX,fecundis,0.85,full_gephi_graph (network)
GEPHI_feedvax_hatch,hatch,feedvax,0.85,full_gephi_graph (network)
