startup_id,current_status,new_status,reason
raptor_air,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
retargetly,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
retrypay,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
ripio,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
robotic_air,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
rsk,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
ruedata,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
rzx_tecnologia,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
scarab,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
securitize,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
sirena,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
skyalert,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
skydrones_tecnologia_avionica_sa,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
skyloom,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
somos_internet,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
spectrum,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
speedbird_aero,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
spline,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
stradot,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
teramot,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
tractian,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
travelx,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
tumi_robotics,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
uala,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
uali,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
vercel,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
vmind,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
voltu,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
voltz,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
workana,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
zdx_aerospace,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
zipnova,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
zippedi,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
acuanativa-cl,REVIEW,EXCLUDE,No description
acuicultura-sostenible-paraguay-py,REVIEW,EXCLUDE,No description
adnlab-do,REVIEW,EXCLUDE,No description
agricrop-solutions-py,REVIEW,EXCLUDE,No description
agrigenomics-colombia-co,REVIEW,EXCLUDE,No description
agro-proteccion-biologica-uy,REVIEW,EXCLUDE,No description
alice-br,REVIEW,EXCLUDE,No description
alimentos-funcionales-paraguay-py,REVIEW,EXCLUDE,No description
alterestate-do,REVIEW,EXCLUDE,No description
alterna-gt,REVIEW,EXCLUDE,No description
andes-biotech-cl,REVIEW,EXCLUDE,No description
aquagenetica-co,REVIEW,EXCLUDE,No description
aquagrow-tech-pe,REVIEW,EXCLUDE,No description
aquamed-cl,REVIEW,EXCLUDE,No description
aquasol-bo,REVIEW,EXCLUDE,No description
aquavida-biotech-pe,REVIEW,EXCLUDE,No description
arvo-br,REVIEW,EXCLUDE,No description
asiderapido-ve,REVIEW,EXCLUDE,No description
auge-ucr-cr,REVIEW,EXCLUDE,No description
awa-nutrition-ec,REVIEW,EXCLUDE,No description
b4rna-uy,REVIEW,EXCLUDE,No description
bacteriabiome-mx,REVIEW,EXCLUDE,No description
baqueano-uy,REVIEW,EXCLUDE,No description
bebidas-funcionales-biotech-uy,REVIEW,EXCLUDE,No description
bechat-do,REVIEW,EXCLUDE,No description
beeftech-andina-pe,REVIEW,EXCLUDE,No description
bioamazonia-pe,REVIEW,EXCLUDE,No description
biocatalysis-ar,REVIEW,EXCLUDE,No description
biococa-co,REVIEW,EXCLUDE,No description
biocombustiblesco-co,REVIEW,EXCLUDE,No description
bioconsulting-ar,REVIEW,EXCLUDE,No description
biodefense-colombia-co,REVIEW,EXCLUDE,No description
biodetox-uy,REVIEW,EXCLUDE,No description
biodiversity-genomics-lab-uy,REVIEW,EXCLUDE,No description
bioecuador-border-pe,REVIEW,EXCLUDE,No description
bioinnovate-arequipa-pe,REVIEW,EXCLUDE,No description
bionexo-br,REVIEW,EXCLUDE,No description
bionovis-br,REVIEW,EXCLUDE,No description
biopharmalabs-co,REVIEW,EXCLUDE,No description
bioproductos-campesinos-py,REVIEW,EXCLUDE,No description
bioproductos-del-chaco-py,REVIEW,EXCLUDE,No description
bioproductos-del-sud-uy,REVIEW,EXCLUDE,No description
biosuelo-colombia-co,REVIEW,EXCLUDE,No description
biotech-uruguay-network-uy,REVIEW,EXCLUDE,No description
biovenezuela-peru-pe,REVIEW,EXCLUDE,No description
bioventures-uruguay-uy,REVIEW,EXCLUDE,No description
bizquick-cr,REVIEW,EXCLUDE,No description
bluelight-consulting-pa,REVIEW,EXCLUDE,No description
bluewallet-services-do,REVIEW,EXCLUDE,No description
boom-entertainment-pa,REVIEW,EXCLUDE,No description
buildly-pa,REVIEW,EXCLUDE,No description
caffeinelab-co,REVIEW,EXCLUDE,No description
cardiatec-cl,REVIEW,EXCLUDE,No description
caribbean-biotech-labs-do,REVIEW,EXCLUDE,No description
catie-gt,REVIEW,EXCLUDE,No description
cayena-br,REVIEW,EXCLUDE,No description
ceibo-cl,REVIEW,EXCLUDE,No description
cellularag-colombia-co,REVIEW,EXCLUDE,No description
cinde-cr,REVIEW,EXCLUDE,No description
ciudad-del-saber-pa,REVIEW,EXCLUDE,No description
cme-gt,REVIEW,EXCLUDE,No description
coco-mercado-ve,REVIEW,EXCLUDE,No description
conacyt-tech-hub-py,REVIEW,EXCLUDE,No description
costa-rica-insect-company-cr,REVIEW,EXCLUDE,No description
cr-biomed-cr,REVIEW,EXCLUDE,No description
cric-cr,REVIEW,EXCLUDE,No description
cryptobuyer-ve,REVIEW,EXCLUDE,No description
cuestionarix-ec,REVIEW,EXCLUDE,No description
cultivar-genomics-pe,REVIEW,EXCLUDE,No description
cultivos-verticales-uruguay-uy,REVIEW,EXCLUDE,No description
cultivoslimpios-paraguay-py,REVIEW,EXCLUDE,No description
de-one-ve,REVIEW,EXCLUDE,No description
descuentazo-gt,REVIEW,EXCLUDE,No description
ecochain-peru-pe,REVIEW,EXCLUDE,No description
ecoenergy-bolivia-bo,REVIEW,EXCLUDE,No description
eden-med-mx,REVIEW,EXCLUDE,No description
endeavor-re,REVIEW,EXCLUDE,No description
energia-biomasa-paraguay-py,REVIEW,EXCLUDE,No description
evergo-do,REVIEW,EXCLUDE,No description
evernox-mx,REVIEW,EXCLUDE,No description
farmastore-ve,REVIEW,EXCLUDE,No description
fermentacion-biotech-paraguay-py,REVIEW,EXCLUDE,No description
fermentation-tech-uruguay-uy,REVIEW,EXCLUDE,No description
foodbunny-gt,REVIEW,EXCLUDE,No description
forestflow-pe,REVIEW,EXCLUDE,No description
gemabiotech-ar,REVIEW,EXCLUDE,No description
genba-gt,REVIEW,EXCLUDE,No description
genesirt-bio-mx,REVIEW,EXCLUDE,No description
genetica-mx,REVIEW,EXCLUDE,No description
geneticcrops-pe-pe,REVIEW,EXCLUDE,No description
genomic-solutions-uruguay-uy,REVIEW,EXCLUDE,No description
genomics-paraguay-research-institute-py,REVIEW,EXCLUDE,No description
genomix-cr,REVIEW,EXCLUDE,No description
gmsacha-inchi-ec,REVIEW,EXCLUDE,No description
gokei-cl,REVIEW,EXCLUDE,No description
grao-direto-br,REVIEW,EXCLUDE,No description
