investment_id,investor_id,startup_id,confidence_score,source
VERIFIED_sp_ventures_genotyping,sp_ventures,genotyping,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_imeve,sp_ventures,imeve,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_inceres,sp_ventures,inceres,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_leaf,sp_ventures,leaf,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_magnamed,sp_ventures,magnamed,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_moss,sp_ventures,moss,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_nexxto,sp_ventures,nexxto,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_promip,sp_ventures,promip,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_sette,sp_ventures,sette,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_traive,sp_ventures,traive,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_goflux,sp_ventures,goflux,0.95,investment_rounds: official portfolio
VERIFIED_savia_ventures_solfium,savia_ventures,solfium,0.95,investment_rounds: official portfolio
VERIFIED_the_yield_lab_latam_seedz,the_yield_lab_latam,seedz,0.95,investment_rounds: official portfolio
VERIFIED_the_yield_lab_latam_terramagna,the_yield_lab_latam,terramagna,0.95,investment_rounds: official portfolio
VERIFIED_the_yield_lab_latam_um_grau_e_meio,the_yield_lab_latam,um_grau_e_meio,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_asclepii,zentynel,asclepii,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_autem-medical,zentynel,autem-medical,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_biomakers,zentynel,biomakers,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_harmony-biosciences,zentynel,harmony-biosciences,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_hexembio,zentynel,hexembio,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_momentum-therapeutics,zentynel,momentum-therapeutics,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_neocrop-technologies,zentynel,neocrop-technologies,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_samay,zentynel,samay,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_xeptiva,zentynel,xeptiva,0.95,investment_rounds: official portfolio
VERIFIED_gridx_HIAMET,gridx,HIAMET,0.95,investment_rounds: official portfolio
VERIFIED_gridx_tomorrow_foods,gridx,tomorrow_foods,0.95,investment_rounds: official portfolio
VERIFIED_gridx_algalife,gridx,algalife,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_multiplai_health,zentynel,multiplai_health,0.95,investment_rounds: official portfolio
VERIFIED_barn_investimentos_rumina,barn_investimentos,rumina,0.95,investment_rounds: official portfolio
VERIFIED_barn_investimentos_agrotoken,barn_investimentos,agrotoken,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_genica,sp_ventures,genica,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_agrolend,sp_ventures,agrolend,0.95,investment_rounds: official portfolio
VERIFIED_sp_ventures_verqor,sp_ventures,verqor,0.95,investment_rounds: official portfolio
